Data,Nominalny,Prawdziwy
09.2003,100,100
10.2003,106.29985121795247,106.62287271130566
11.2003,104.51405579274319,104.64559553408705
12.2003,105.37634508260663,105.57407248625863
01.2004,109.42867408049749,109.31854486870517
02.2004,111.25435488900607,110.73529342970421
03.2004,112.42952192591503,111.74064135508068
04.2004,112.26116475112742,110.9799781798272
05.2004,110.7798919658242,109.0793791643003
06.2004,113.25643653772802,111.57129308406708
07.2004,110.76639581799405,108.73588081613906
08.2004,110.86293376488352,108.69799581255843
09.2004,110.48551621752648,108.26172576333582
10.2004,110.25411911717651,107.50765182329242
11.2004,111.42466224957973,108.77931705349992
12.2004,112.93017104022908,110.6054339836166
01.2005,115.53250021084101,112.84452431956565
02.2005,117.53856960057918,114.05052788277933
03.2005,117.52832954930453,113.29794990537593
04.2005,115.00486086072223,110.60741596759657
05.2005,123.33229478839525,118.45778075231004
06.2005,127.19158349930426,121.79691933187192
07.2005,131.98529436997015,125.66267464658353
08.2005,131.77129169078722,125.34000925679396
09.2005,137.36372118194782,130.51137137203384
10.2005,133.98913994455933,127.551610550412
11.2005,141.78698276154066,135.00497308649335
12.2005,144.92013054788913,138.00422429927482
01.2006,148.08384174238577,141.00063019709273
02.2006,150.98905577536385,143.14977366532557
03.2006,151.3364883646866,143.5297447165632
04.2006,150.89176704192906,142.41466577303726
05.2006,141.30239165837492,132.8296952784592
06.2006,143.10184793540589,134.5367692219794
07.2006,143.62982357565437,134.5773534657026
08.2006,146.42126478303166,137.0205059173346
09.2006,150.45548023892732,141.19402601253788
10.2006,155.59750007139348,146.2994412876519
11.2006,153.92213080018803,144.36519120395053
12.2006,157.81309599275394,147.81263563554717
01.2007,161.95101571488817,151.61951737689952
02.2007,157.88198239989057,146.9986039584296
03.2007,159.7596604702187,148.72983510167595
04.2007,163.4502446029975,151.49442629965267
05.2007,170.40448240765406,158.11449838062293
06.2007,169.3150927990633,157.12191305248717
07.2007,164.33335095338296,151.8283981640366
08.2007,163.89927842707473,151.61916901187487
09.2007,166.88113160116583,154.23812358165065
10.2007,170.37032318353204,156.6478349129468
11.2007,159.72490330223926,145.39183704192823
12.2007,158.26354265765235,143.6665264723378
01.2008,143.87431095027796,130.0204369431268
02.2008,141.36076365654145,126.81310329337428
03.2008,133.6013916970841,118.93188859820808
04.2008,143.49901050685483,127.46588192595738
05.2008,145.9510830577591,128.50212044425402
06.2008,131.4248630458446,115.00828528745942
07.2008,129.57242908815286,112.78543364999045
08.2008,134.2349585867694,117.52885706844894
09.2008,121.26883162596025,105.98406386739097
10.2008,108.85328204269771,95.32964146584742
11.2008,101.99070827283158,89.88145847639679
12.2008,96.74939218657764,85.45978483961873
01.2009,95.88825656222744,84.61451146828462
02.2009,87.74071168565413,77.13657667143659
03.2009,90.40173545885341,79.91537561695088
04.2009,101.52325585304087,89.57955027999371
05.2009,105.24193313902826,92.92968134698313
06.2009,104.39972043407047,92.35981409591602
07.2009,113.62023193943514,100.57805388735693
08.2009,116.69527869191296,102.9894922913147
09.2009,118.93833903941247,105.24090647266523
10.2009,115.81900772813056,102.4343975482829
11.2009,118.73813179404884,104.74524263977048
12.2009,126.31670805817966,111.25801425269067
01.2010,124.67408700549063,109.31065899503105
02.2010,129.7928610026955,113.33294233581748
03.2010,139.16064869896516,121.09357887068711
04.2010,141.07604703619285,122.34034064724786
05.2010,137.98311254532274,119.16927986682147
06.2010,134.30644358350585,116.00673974372012
07.2010,136.78114992003395,118.09433682183425
08.2010,135.578265978523,116.9795907947467
09.2010,138.13528070837893,118.82125426846633
10.2010,140.84698347352145,120.98831849317764
11.2010,146.5491742757423,125.73120218480634
12.2010,153.09999087749722,130.85437822859993
01.2011,151.65066785651962,128.87753353242988
02.2011,154.29672279799135,130.37607443876942
03.2011,150.20338939675156,126.25886621983234
04.2011,149.45160524300897,125.32291170877104
05.2011,150.966330879031,126.17425385651308
06.2011,147.9302060029928,123.24272192754722
07.2011,147.38650173345138,122.64908086239988
08.2011,134.74528049721636,112.23126731035563
09.2011,130.42396153697814,108.32928063251158
10.2011,139.26973875130295,115.50841598197846
11.2011,140.7812168671107,116.30861996231766
12.2011,145.56975872078576,120.21688069158306
01.2012,151.4880493664326,124.22656711257007
02.2012,155.93409207201432,127.13684011833834
03.2012,157.82481425290496,128.40739354634403
04.2012,157.6391008086028,128.1652543633747
05.2012,152.83483441682134,124.29816017746371
06.2012,157.99083791543433,128.78090245122132
07.2012,164.15417165722857,133.56949592954382
08.2012,163.315414875192,132.3052177864591
09.2012,164.35462858624092,132.92025937967807
10.2012,162.568460801886,131.23481844114553
11.2012,164.70991453681367,133.10860950410117
12.2012,165.93326959429086,134.0838586529094
01.2013,168.973524785795,136.5810319454639
02.2013,174.24436232232972,140.40161132942336
03.2013,181.74344083456285,146.24700181066072
04.2013,183.15605005662496,147.4423117518627
05.2013,183.58510654877125,147.56607730210774
06.2013,177.20268008633823,142.1848571558433
07.2013,182.87374208310294,146.5932063209577
08.2013,179.57698386477406,144.03826742814255
09.2013,185.1042341386505,148.38536807662175
10.2013,190.5738116578945,152.88841274099963
11.2013,193.63661295945337,155.23867134240024
12.2013,194.34595704610658,155.559467122739
